species,category_used,n_clean_dedup_200m,n_snap_pool,n_lowacc_pool,feas_snap_1,feas_snap_2,feas_snap_5,feas_lowacc_3,feas_lowacc_10,feas_lowacc_20,max_snap_contamination_pct,max_lowacc_contamination_pct,n_basins,strahler_min,strahler_max,gate_1_min_benchmark,gate_2_snap_pool,gate_3_lowacc_pool,gate_4_basin_spread,gate_5_strahler_spread,classification
Astacus astacus,regional,2058,190,1813,1,1,1,1,1,1,5,20,172,1.0,10.0,1,1,1,1,1,DUAL-AXIS
Astacus colchicus,regional,6,0,1,0,0,0,1,1,0,0,10,6,1.0,7.0,0,0,0,1,1,INELIGIBLE
Austropotamobius bihariensis,regional,57,4,0,1,1,1,0,0,0,5,0,3,1.0,7.0,0,1,0,1,1,INELIGIBLE
Austropotamobius fulcisianus,regional,744,196,169,1,1,1,1,1,1,5,20,79,1.0,10.0,1,1,1,1,1,DUAL-AXIS
Austropotamobius pallipes,regional,2955,101,584,1,1,0,1,1,0,2,10,78,1.0,8.0,1,0,0,1,1,INELIGIBLE
Austropotamobius torrentium,regional,1032,64,1211,1,1,1,1,1,1,5,20,39,1.0,8.0,1,1,1,1,1,DUAL-AXIS
Barbicambarus cornutus,regional,25,0,0,0,0,0,0,0,0,0,0,1,1.0,8.0,0,0,0,0,1,INELIGIBLE
Barbicambarus simmonsi,regional,8,1,0,1,1,1,0,0,0,5,0,1,6.0,7.0,0,1,0,0,0,INELIGIBLE
Bouchardina robisoni,regional,6,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarellus (Cambarellus) patzcuarensis,regional,3,1,0,1,1,1,0,0,0,5,0,1,1.0,3.0,0,1,0,0,1,INELIGIBLE
Cambarellus (Pandicambarus) blacki,regional,1,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0,0,0,0,0,INELIGIBLE
Cambarellus (Pandicambarus) diminutus,regional,15,0,0,0,0,0,0,0,0,0,0,6,1.0,5.0,0,0,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) lesliei,regional,18,4,0,1,1,1,0,0,0,5,0,4,1.0,10.0,0,1,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) ninae,regional,14,1,0,1,1,1,0,0,0,5,0,3,1.0,4.0,0,1,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) puer,regional,60,21,0,1,1,1,0,0,0,5,0,7,1.0,10.0,0,1,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) rotatus,regional,4,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,0,0,0,0,1,INELIGIBLE
Cambarellus (Pandicambarus) schmitti,regional,13,2,0,1,1,1,0,0,0,5,0,6,1.0,8.0,0,1,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) shufeldtii,regional,103,18,0,1,1,1,0,0,0,5,0,20,1.0,10.0,0,1,0,1,1,INELIGIBLE
Cambarellus (Pandicambarus) texanus,regional,5,2,0,1,1,1,0,0,0,5,0,3,1.0,2.0,0,1,0,1,0,INELIGIBLE
Cambaroides dauricus,regional,1,0,2,0,0,0,1,1,1,0,20,1,1.0,1.0,0,0,1,0,0,INELIGIBLE
Cambaroides japonicus,regional,16,0,0,0,0,0,0,0,0,0,0,10,1.0,6.0,0,0,0,1,1,INELIGIBLE
Cambaroides schrenckii,regional,12,1,8,1,1,1,1,1,1,5,20,9,1.0,5.0,0,1,1,1,1,INELIGIBLE
Cambaroides similis,regional,56,2,1,1,1,0,0,0,0,2,0,29,1.0,4.0,0,0,0,1,1,INELIGIBLE
Cambarus acuminatus,regional,473,23,0,1,1,0,0,0,0,2,0,22,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus adustus,regional,5,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,0,0,0,0,1,INELIGIBLE
Cambarus aldermanorum,regional,16,0,0,0,0,0,0,0,0,0,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus andersoni,regional,18,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,0,0,0,0,1,INELIGIBLE
Cambarus angularis,regional,92,0,0,0,0,0,0,0,0,0,0,2,1.0,7.0,0,0,0,0,1,INELIGIBLE
Cambarus appalachiensis,regional,172,2,0,1,0,0,0,0,0,1,0,5,1.0,8.0,0,0,0,1,1,INELIGIBLE
Cambarus asperimanus,regional,164,16,0,1,1,1,0,0,0,5,0,5,1.0,7.0,0,1,0,1,1,INELIGIBLE
Cambarus bartonii,regional,1341,45,1,1,1,0,0,0,0,2,0,28,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus bartonii bartonii,regional,593,18,28,1,1,0,1,0,0,2,3,19,1.0,8.0,1,0,0,1,1,INELIGIBLE
Cambarus bartonii cavatus,regional,486,18,0,1,1,0,0,0,0,2,0,2,1.0,10.0,1,0,0,0,1,INELIGIBLE
